REF_SITE_FROM_ID,REF_SITE_TO_ID,season,INJSVR,DOCTNMBR
1662750,1662946,fall,O,1
1662750,1662946,summer,A,1
1666504,1666512,fall,B,2
1666504,1666512,spring,O,1
1666504,1666512,summer,B,1
1666504,1666512,summer,O,1
1666504,1666512,winter,B,1
1666504,1666512,winter,O,2
1665153,1664722,fall,C,1
1665153,1664722,spring,B,1
1665153,1664722,winter,O,1
1664722,1663343,spring,K,1
1664722,1663343,spring,O,3
1664722,1663343,summer,O,2
1664722,1663343,winter,C,1
1664722,1663343,winter,O,2
1661907,1661668,fall,O,1
2024346,1663717,spring,O,1
2024346,1663717,summer,B,1
1663861,2024347,fall,O,2
1663861,2024347,spring,O,1
1663861,2024347,summer,O,2
1663861,2024347,winter,O,1
1664213,1664144,summer,O,1
1664213,1663583,fall,O,1
1664213,1663583,spring,O,1
1664213,1663583,summer,C,1
1664213,1663583,summer,O,1
1664213,1663583,winter,B,1
1664213,1663583,winter,O,1
1664144,1663870,summer,O,2
1664144,1663870,winter,O,1
1663510,1663470,spring,O,1
1663897,1664021,spring,O,1
1663897,1664021,summer,O,1
1663293,1663207,fall,O,1
10492,1662064,fall,O,2
1662569,1662460,fall,C,1
1662569,1662460,fall,O,4
1662569,1662460,spring,C,1
1662569,1662460,spring,O,1
1662569,1662460,summer,O,2
1662569,1662460,winter,O,1
1662230,2026265,spring,O,1
1662230,2026265,summer,O,1
1663054,1663076,summer,B,1
1663775,1663590,fall,O,1
1663775,1663590,spring,O,1
1663717,1663710,fall,O,2
1662462,1662372,summer,O,1
1662509,1662319,summer,O,1
1662509,1662319,winter,O,2
1661598,1661614,spring,O,1
1663344,1663293,fall,C,1
1663344,1663293,spring,O,2
1663344,1663293,winter,O,1
1668437,1667774,winter,O,1
1668822,1668327,summer,O,1
15378,15377,fall,O,1
15378,15377,spring,C,1
15378,15377,summer,B,1
15378,15377,summer,C,1
15378,15377,summer,O,3
15378,15377,winter,O,4
10949,1666471,fall,O,1
10949,1666471,winter,B,1
10949,1666471,winter,O,3
1666512,1666511,fall,O,1
1666512,1666511,spring,O,1
1666511,1666509,spring,O,1
1679419,1679421,fall,O,1
1679462,1662388,summer,O,1
1679462,1662388,winter,O,1
1662395,1679458,spring,O,1
1679706,1662462,summer,O,1
1664479,1664473,summer,O,1
1664486,1678985,spring,O,1
1679719,1663395,fall,O,1
1679719,1663395,spring,O,1
1679719,1663395,summer,O,3
1679719,1663395,winter,O,1
1663470,1679719,fall,O,2
1663470,1679719,summer,O,4
1663470,1679719,winter,O,2
1679719,15381,fall,O,3
1679719,15381,spring,O,1
1679719,15381,summer,O,1
1679719,15381,winter,O,2
2003172,1668213,fall,C,1
2003172,1668213,fall,O,1
2003172,1668213,winter,B,1
2005018,2005019,winter,O,1
2005025,2005024,summer,O,1
2005027,1679723,winter,O,1
2005027,2005029,fall,B,1
2005027,2005029,fall,O,1
2005027,2005029,summer,O,1
2005027,2005029,winter,O,1
2005034,2005035,winter,O,1
2005038,2005104,winter,O,1
2005104,2005102,fall,O,1
1662715,2005027,fall,O,1
1662715,2005027,summer,O,1
1662715,2005027,winter,O,1
2008367,2008366,summer,O,1
2008369,2008371,winter,O,1
1666044,1666240,fall,O,1
2011531,1662964,fall,B,1
2011531,1662964,fall,O,1
2011531,1662964,summer,O,2
2011531,1662964,winter,O,4
2005125,2011680,fall,O,1
2011681,2011682,summer,O,1
2016714,2011682,summer,O,1
1662826,1662902,winter,O,2
1662381,2011721,winter,O,1
2011721,1662372,summer,C,1
2011721,1662372,winter,O,1
1662902,2011721,fall,C,1
1662902,2011721,fall,O,1
1662902,2011721,spring,O,1
1662902,2011721,summer,B,1
1662902,2011721,summer,C,1
1662902,2011721,summer,O,5
1662902,2011721,winter,O,6
1663320,1663215,fall,C,1
1663320,1663215,fall,O,7
1663320,1663215,spring,C,2
1663320,1663215,spring,O,2
1663320,1663215,summer,O,5
1663320,1663215,winter,C,1
1663320,1663215,winter,O,9
2011622,2176384,fall,C,1
2011622,2176384,fall,O,4
2011622,2176384,spring,O,3
2011622,2176384,summer,O,3
2011622,2176384,winter,O,3
1662755,1662750,fall,O,2
1662755,1662750,winter,O,1
1662420,1662477,summer,O,1
1662751,1662813,fall,O,1
1662751,1662813,summer,C,1
1662751,1662813,summer,O,1
1662751,1662813,winter,O,1
1662813,1662751,fall,C,2
1662813,1662751,fall,O,2
1662813,1662751,spring,O,3
1662813,1662751,summer,O,2
1662813,1662751,winter,B,1
1662813,1662751,winter,O,1
1663343,1663366,winter,O,2
1662303,1662282,fall,B,1
1662303,1662282,fall,O,1
1662303,1662282,winter,O,1
1662282,1662303,summer,O,1
1662282,1662303,winter,O,3
1663583,2176343,spring,O,3
1663583,2176343,summer,C,2
1663583,2176343,summer,O,1
1663583,2176343,winter,B,1
1663583,2176343,winter,C,1
1663583,2176343,winter,O,1
1662569,1662704,spring,C,1
1662569,1662704,summer,C,1
1662569,1662704,summer,O,1
1662569,1662704,winter,O,1
1662704,1662569,fall,O,3
1662704,1662569,spring,O,2
1662704,1662569,summer,O,1
1662704,1662569,winter,C,1
1662704,1662569,winter,O,1
1663345,1663212,summer,O,1
1662887,1662841,summer,C,1
1662887,1662841,summer,O,4
1662887,1662841,winter,O,1
1662217,1662003,summer,C,1
1662217,1662003,winter,O,1
1679458,2011363,spring,O,1
1662286,1662264,fall,O,2
1666509,2023810,spring,O,2
1666509,2023810,winter,O,1
2023810,1679421,summer,O,1
1666506,2023866,fall,O,2
1666506,2023866,winter,C,1
2023866,1677464,summer,O,1
2024346,2024347,spring,O,1
2024346,2024347,summer,O,1
2024346,2024347,winter,O,3
2024347,2011622,fall,A,1
2024347,2011622,winter,O,3
2182350,1662349,fall,C,1
2182350,1662349,fall,O,1
2182350,1662349,spring,C,1
2182350,1662349,spring,O,1
2182350,1662349,summer,O,1
2182350,1662349,winter,C,1
2182350,1662349,winter,O,2
2026273,1661559,fall,O,1
2026275,2026276,spring,O,1
1662357,2180752,fall,O,2
1662357,2180752,spring,O,1
1662357,2180752,summer,O,1
1662357,2180752,winter,C,1
1662357,2180752,winter,O,2
2180752,2182350,fall,O,1
2180752,2182350,summer,O,1
2180752,2182350,winter,O,1
