DOCTNMBR,REPTTYPE,CRSHDATE,NTFYHOUR,CNTYNAME,MUNINAME,MUNITYPE,LOCTYPE,ONHWY,ONHWYSYS,ONHWYDIR,ONHWYTYP,ONSTR,ATHWY,ATHWYSYS,ATHWYDIR,ATHWYTYP,ATSTR,INTDIR,INTDIS,LATDECDG,LONDECDG,CRSHTYPE,RLTNRDWY,MNRCOLL,HWYCLASS,INJSVR,TOTVEH,TOTMOT,TOTNMT,TOTINJ,TOTFATL,ALCFLAG,BIKEFLAG,BUSFLAG,CONSZONE,CMVFLAG,CYCLFLAG,DISTFLAG,DRUGFLAG,INJTRNS,MOPFLAG,PEDFLAG,SFTYFLAG,SPEEDFLAG,TEENDRVR,RDWY_LINK_ID,RDWY_LINK_OSET,LINK_HIST_FLAG
1KL0597RB4,DT4000,1/25/2017,7,DANE,MIDDLETON,C,I,,,,,DEMING WAY,,,,,JOHN Q HAMMONS DR,,0,43.09367603,-89.52557514,TFSIGN,O ROW,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,,,5093010,1015,
1KL0607D6P,DT4000,1/25/2017,10,DANE,MIDDLETON,C,N,,,,,PLEASANT VIEW RD,,,,,UNIVERSITY GREEN,W,0.0884,43.09816846,-89.53624569,MVIT,ON,FTS,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,Y,,5036165,1478,
1KL0597RB5,DT4000,1/25/2017,20,DANE,MIDDLETON,C,N,12,USH,EB,R,,,,,,RAMP USH 12 TO GREENWAY BLVD,,0,43.09466052,-89.51851588,OTH NC,ON,NO,U STH,O,1,1,0,0,0,,,,,,,,,,,,,,,5519747,3018,Y
1KL05Z0C3J,DT4000,1/25/2017,20,DANE,MIDDLETON,C,N,12,USH,EB,,,,,,,RAMP USH 12 TO GREENWAY BLVD,,0,43.09483943,-89.51834651,OBNFX,ON,NO,U STH,O,1,1,0,0,0,,,,,,,,,,,,,,,5519747,3018,Y
02L0Z1L4FV,DT4000,1/28/2017,23,DANE,MIDDLETON,T,N,,,,,CTH S,,,,,SWOBODA RD,,0,43.06024522,-89.59147679,UT PL,R SIDE,NO,R TOWN,O,1,1,0,0,0,,,,,,,Y,,,,,,,,5091460,1199,
1KL05S26N5,DT4000,1/29/2017,15,DANE,MIDDLETON,C,I,,,,,CTH Q,,,,,CTH M,,0,43.11191737,-89.47165478,MVIT,ON,FTR,U CITY,B,2,3,0,1,0,,,,,,,Y,,,,,,,,4840893,422,
1KL05S26N6,DT4000,1/30/2017,11,DANE,MIDDLETON,C,I,14,USH,EB,,,,,,,DEMING WAY,,0,43.09675967,-89.52355169,MVIT,ON,FTS,U STH,O,2,2,0,0,0,,,,,,,,,,,,,,,5488970,461,
1KL0597RB6,DT4000,1/30/2017,15,DANE,MIDDLETON,C,N,,,,,MENDOTA AVE,,,,,CTH MS,E,0.0252,43.09627438,-89.49465858,PKVEH,ON,FTR,U CITY,O,2,1,0,0,0,,,,,,,,,,,,,,,4841866,133,
02L0ZDPGFN,DT4000,1/31/2017,3,DANE,MIDDLETON,T,N,14,USH,EB,,,,,,,WAYSIDE RD,E,0.0962,43.09529523,-89.56422602,EMBKMT,R SIDE,NO,R STH,O,1,1,0,0,0,,,,,,,,,,,,,,,5314181,508,
1KL0597RB7,DT4000,1/31/2017,5,DANE,MIDDLETON,C,I,,,,,AIRPORT RD,,,,,DEMING WAY,W,0.0174,43.11118883,-89.52955544,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,Y,,5036721,2197,
1KL05BGSFJ,DT4000,1/31/2017,14,DANE,MIDDLETON,C,N,,,,,MURPHY DR,,,,,PARVIEW DR,E,0.0417,43.09845809,-89.53133412,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,Y,4841696,220,
02L0Z0C3BH,DT4000,1/31/2017,23,DANE,MIDDLETON,T,N,,,,,AIRPORT RD,,,,,ENCHANTED VALLEY RD,S,0.0941,43.11115488,-89.60011248,TFSIGN,LTSH,NO,R TOWN,O,1,2,0,0,0,,,,,,,,,,,,,,,4819528,521,
02L0Z90C3G,DT4000,2/1/2017,8,DANE,MIDDLETON,T,I,,,,,AIRPORT RD,,,,,BRONNER RD,,0,43.11098038,-89.5759221,MVIT,ON,FTS,R TOWN,O,2,2,0,0,0,,,,,,,,,,,,,,Y,4829347,686,
1KL05BGSFK,DT4000,2/1/2017,8,DANE,MIDDLETON,C,I,14,USH,WB,,,,,,,CONNECTOR USH 14 TO CTH MS,S,0.0356,43.09694175,-89.51449827,MVIT,ON,FTR,U STH,C,2,2,0,1,0,,,,,,,,,,,,,,,5515604,188,
02L0Z7RB06,DT4000,2/1/2017,9,DANE,CROSS PLAINS,T,PP,,,,,UNION VALLEY RD,,,,,BURDSALL RD,S,0.1773,43.09849963,-89.71002194,MAILBOX,RTSH,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,Y,,4827459,936,
24L04BTWRD,DT4000,2/1/2017,11,DANE,CROSS PLAINS,V,PL,,,,,GLACIER EDGE SQ,14,USH,EB,,,N,0.0309,43.1109989,-89.64254159,MVIT,O ROW,RTS,R CITY,O,2,4,0,0,0,,,,,,,Y,,,,,,,,4837043,163,
24L04BTWRF,DT4000,2/2/2017,6,DANE,CROSS PLAINS,V,N,14,USH,EB,,,,,,,WESTVIEW CT,S,0.0244,43.10892607,-89.63912949,MVIT,ON,SSS,R STH,O,2,2,0,0,0,,,,,,,Y,,,,,,,,5455235,129,
24L04BTWRG,DT4000,2/2/2017,7,DANE,CROSS PLAINS,V,I,,,,,THINNES ST,,,,,CTH P,E,0.0117,43.11858634,-89.63241292,MVIT,ON,FTR,R CITY,O,2,4,0,0,0,,,,,,,,,,,,,,,4840532,62,
1KL05BGSFL,DT4000,2/2/2017,8,DANE,MIDDLETON,C,N,,,,,WHITTLESEY RD,,,,,MANITO CT,E,0.0169,43.1177872,-89.49821788,MVIT,ON,FTS,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,,Y,5015977,365,
02L0Z90C3H,DT4000,2/2/2017,14,DANE,MIDDLETON,T,N,,,,,BLACKHAWK RD,,,,,TWIN VALLEY RD,E,0.31,43.08198078,-89.56951434,MVIT,ON,FTR,R TOWN,B,2,2,0,1,0,,,,,,,Y,,,,,,,Y,5559531,1652,Y
1KL06WD6N5,DT4000,2/3/2017,15,DANE,MIDDLETON,C,N,14,USH,WB,,,,,,,CROSSOVER USH 14,E,0.0201,43.09692667,-89.52316569,MVIT,ON,FTR,U STH,O,2,5,0,0,0,,,,,,,Y,,,,,,,,5488964,388,
1KL05Z0C3K,DT4000,2/4/2017,10,DANE,MIDDLETON,C,N,12,USH,EB,R,RAMP USH 12 TO USH 14,14,USH,EB,,,,0,43.0969328,-89.51868331,MVIT,ON,FTR,U STH,O,2,2,0,0,0,,,,,,,,,,,,,,,5314295,297,
24L04BTWRH,DT4000,2/6/2017,9,DANE,CROSS PLAINS,V,I,,,,,CTH P,14,USH,WB,,,,0,43.11137671,-89.64513668,MVIT,ON,SSS,R CITY,O,2,2,0,0,0,,,,,Y,,,,,,,,,,5372925,283,
