road,loopNum
intersection_319,l462
intersection_319,l463
intersection_319,l465
intersection_319,l467
intersection_319,l472
intersection_319,l473
intersection_319,l475
intersection_319,l481
intersection_319,l491
intersection_319,l494
intersection_319,l495
intersection_319,l500
intersection_320,l170
intersection_320,l344
intersection_320,l345
intersection_320,l360
intersection_320,l368
intersection_320,l369
intersection_320,l371
intersection_320,l372
intersection_320,l373
intersection_320,l374
intersection_320,l375
intersection_320,l378
intersection_320,l379
intersection_320,l380
intersection_320,l382
intersection_320,l384
intersection_320,l385
intersection_320,l386
intersection_320,l390
intersection_320,l392
intersection_320,l395
intersection_320,l398
intersection_320,l400
intersection_320,l402
intersection_320,l403
intersection_320,l404
intersection_320,l407
intersection_320,l409
intersection_320,l412
intersection_320,l413
intersection_320,l415
intersection_320,l417
intersection_320,l418
intersection_320,l420
intersection_320,l423
intersection_320,l426
intersection_320,l430
intersection_320,l432
intersection_320,l433
intersection_320,l434
intersection_320,l435
intersection_320,l436
intersection_320,l440
intersection_320,l443
intersection_320,l444
intersection_320,l445
intersection_320,l446
intersection_320,l448
intersection_320,l449
intersection_320,l456
intersection_320,l457
intersection_320,l458
intersection_320,l462
intersection_320,l463
intersection_320,l465
intersection_320,l467
intersection_320,l472
intersection_320,l473
intersection_320,l475
intersection_320,l481
intersection_320,l491
intersection_320,l494
intersection_320,l495
intersection_320,l500
intersection_321,l324
intersection_321,l325
intersection_321,l328
intersection_321,l359
intersection_321,l361
intersection_321,l362
intersection_321,l364
intersection_321,l365
intersection_321,l366
intersection_321,l367
intersection_321,l370
intersection_321,l376
intersection_321,l377
intersection_321,l381
intersection_321,l383
intersection_321,l387
intersection_321,l389
intersection_321,l391
intersection_321,l393
intersection_321,l394
intersection_321,l396
intersection_321,l397
intersection_321,l399
intersection_321,l401
intersection_321,l408
intersection_321,l411
intersection_321,l414
intersection_321,l419
intersection_321,l421
intersection_321,l422
intersection_321,l425
intersection_321,l427
intersection_321,l429
intersection_321,l438
intersection_321,l439
intersection_321,l441
intersection_321,l447
intersection_321,l452
intersection_321,l454
intersection_321,l460
intersection_321,l461
intersection_321,l466
intersection_321,l469
intersection_321,l474
intersection_321,l476
intersection_321,l483
intersection_321,l485
intersection_321,l486
intersection_321,l488
intersection_321,l489
intersection_321,l492
intersection_321,l496
intersection_321,l497
intersection_321,l498
intersection_321,l499
intersection_325,l54
intersection_325,l56
intersection_325,l70
intersection_325,l71
intersection_325,l72
intersection_325,l77
intersection_325,l78
intersection_326,l55
intersection_326,l57
intersection_326,l58
intersection_326,l67
intersection_326,l73
intersection_326,l74
intersection_326,l75
intersection_326,l76
intersection_326,l80
intersection_326,l87
intersection_327,l1
intersection_327,l2
intersection_327,l8
intersection_327,l9
intersection_327,l10
intersection_327,l12
intersection_327,l13
intersection_327,l15
intersection_327,l16
intersection_327,l22
intersection_327,l26
intersection_327,l36
intersection_327,l37
intersection_327,l38
intersection_327,l55
intersection_327,l57
intersection_327,l58
intersection_327,l59
intersection_327,l61
intersection_327,l65
intersection_327,l66
intersection_327,l67
intersection_327,l68
intersection_327,l73
intersection_327,l75
intersection_327,l76
