"roadID","lambdaLoop","loopNum"
"intersection_68","lamb3","l79"
"intersection_68","lamb3","l81"
"intersection_68","lamb3","l84"
"intersection_68","lamb3","l85"
"intersection_68","lamb3","l88"
"intersection_68","lamb3","l90"
"intersection_68","lamb3","l91"
"intersection_68","lamb3","l92"
"intersection_68","lamb3","l93"
"intersection_68","lamb3","l96"
"intersection_68","lamb3","l97"
"intersection_68","lamb3","l99"
"intersection_68","lamb3","l100"
"intersection_68","lamb4","l4"
"intersection_68","lamb4","l5"
"intersection_68","lamb4","l7"
"intersection_68","lamb4","l10"
"intersection_68","lamb4","l11"
"intersection_68","lamb4","l12"
"intersection_68","lamb4","l15"
"intersection_68","lamb4","l18"
"intersection_68","lamb4","l19"
"intersection_68","lamb4","l20"
"intersection_68","lamb4","l21"
"intersection_68","lamb4","l23"
"intersection_68","lamb4","l29"
"intersection_68","lamb4","l31"
"intersection_68","lamb4","l32"
"intersection_68","lamb4","l33"
"intersection_68","lamb4","l37"
"intersection_68","lamb4","l39"
"intersection_68","lamb4","l40"
"intersection_68","lamb4","l41"
"intersection_68","lamb4","l42"
"intersection_68","lamb4","l43"
"intersection_68","lamb4","l44"
"intersection_68","lamb4","l47"
"intersection_68","lamb4","l49"
"intersection_68","lamb4","l57"
"intersection_68","lamb4","l59"
"intersection_68","lamb4","l60"
"intersection_68","lamb4","l62"
"intersection_68","lamb4","l64"
"intersection_68","lamb4","l65"
"intersection_68","lamb4","l66"
"intersection_68","lamb4","l68"
"intersection_68","lamb4","l70"
"intersection_68","lamb4","l71"
"intersection_68","lamb4","l72"
"intersection_68","lamb4","l76"
"intersection_68","lamb4","l77"
"intersection_68","lamb4","l78"
"intersection_68","lamb4","l80"
"intersection_68","lamb4","l81"
"intersection_68","lamb4","l82"
"intersection_68","lamb4","l85"
"intersection_68","lamb4","l89"
"intersection_68","lamb4","l91"
"intersection_68","lamb4","l92"
"intersection_68","lamb4","l97"
"intersection_68","lamb4","l100"
"intersection_68","lamb5","l4"
"intersection_68","lamb5","l5"
"intersection_68","lamb5","l10"
"intersection_68","lamb5","l11"
"intersection_68","lamb5","l13"
"intersection_68","lamb5","l14"
"intersection_68","lamb5","l15"
"intersection_68","lamb5","l16"
"intersection_68","lamb5","l18"
"intersection_68","lamb5","l19"
"intersection_68","lamb5","l20"
"intersection_68","lamb5","l21"
"intersection_68","lamb5","l23"
"intersection_68","lamb5","l25"
"intersection_68","lamb5","l26"
"intersection_68","lamb5","l28"
"intersection_68","lamb5","l31"
"intersection_68","lamb5","l33"
"intersection_68","lamb5","l35"
"intersection_68","lamb5","l36"
"intersection_68","lamb5","l37"
"intersection_68","lamb5","l38"
"intersection_68","lamb5","l39"
"intersection_68","lamb5","l43"
"intersection_68","lamb5","l45"
"intersection_68","lamb5","l49"
"intersection_68","lamb5","l50"
"intersection_68","lamb5","l54"
"intersection_68","lamb5","l58"
"intersection_68","lamb5","l61"
"intersection_68","lamb5","l62"
"intersection_68","lamb5","l65"
"intersection_68","lamb5","l66"
"intersection_68","lamb5","l68"
"intersection_68","lamb5","l70"
"intersection_68","lamb5","l71"
"intersection_68","lamb5","l74"
"intersection_68","lamb5","l76"
"intersection_68","lamb5","l77"
"intersection_68","lamb5","l78"
"intersection_68","lamb5","l82"
"intersection_68","lamb5","l84"
"intersection_68","lamb5","l85"
"intersection_68","lamb5","l87"
"intersection_68","lamb5","l90"
"intersection_68","lamb5","l93"
"intersection_68","lamb5","l94"
"intersection_68","lamb5","l98"
"intersection_68","lamb5","l99"
"intersection_84","lamb1","l1"
"intersection_84","lamb1","l2"
"intersection_84","lamb1","l3"
"intersection_84","lamb1","l4"
"intersection_84","lamb1","l5"
"intersection_84","lamb1","l6"
"intersection_84","lamb1","l7"
"intersection_84","lamb1","l8"
"intersection_84","lamb1","l9"
"intersection_84","lamb1","l10"
"intersection_84","lamb1","l11"
"intersection_84","lamb1","l12"
"intersection_84","lamb1","l13"
"intersection_84","lamb1","l14"
"intersection_84","lamb1","l15"
"intersection_84","lamb1","l16"
"intersection_84","lamb1","l17"
"intersection_84","lamb1","l18"
"intersection_84","lamb1","l19"
"intersection_84","lamb1","l20"
"intersection_84","lamb1","l21"
"intersection_84","lamb1","l22"
"intersection_84","lamb1","l23"
"intersection_84","lamb1","l24"
"intersection_84","lamb1","l25"
"intersection_84","lamb1","l26"
"intersection_84","lamb1","l27"
"intersection_84","lamb1","l28"
"intersection_84","lamb1","l32"
"intersection_84","lamb1","l33"
"intersection_84","lamb1","l34"
"intersection_84","lamb1","l35"
"intersection_84","lamb1","l36"
"intersection_84","lamb1","l37"
"intersection_84","lamb1","l38"
"intersection_84","lamb1","l39"
"intersection_84","lamb1","l40"
"intersection_84","lamb1","l41"
"intersection_84","lamb1","l42"
"intersection_84","lamb1","l43"
"intersection_84","lamb1","l44"
"intersection_84","lamb1","l45"
"intersection_84","lamb1","l46"
"intersection_84","lamb1","l47"
