DOCTNMBR,REPTTYPE,CRSHDATE,NTFYHOUR,CNTYNAME,MUNINAME,MUNITYPE,LOCTYPE,ONHWY,ONHWYSYS,ONHWYDIR,ONHWYTYP,ONSTR,ATHWY,ATHWYSYS,ATHWYDIR,ATHWYTYP,ATSTR,INTDIR,INTDIS,LATDECDG,LONDECDG,CRSHTYPE,RLTNRDWY,MNRCOLL,HWYCLASS,INJSVR,TOTVEH,TOTMOT,TOTNMT,TOTINJ,TOTFATL,ALCFLAG,BIKEFLAG,BUSFLAG,CONSZONE,CMVFLAG,CYCLFLAG,DISTFLAG,DRUGFLAG,INJTRNS,MOPFLAG,PEDFLAG,SFTYFLAG,SPEEDFLAG,TEENDRVR,WISLR_LINKID,WISLR_LKOFFSET,WISLR_LK_HIST_FLAG,ONHWYSYS,POSTSPD1
1KL07TS27G,DT4000,1/18/2019,16,DANE,MIDDLETON,C,I,,,,,HIGH RD,,,,,GREENBRIAR RD,S,0.0074,43.12610268,-89.50151687,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,Y,,5285900,368,,,30
24L049LVNZ,DT4000,1/18/2019,16,DANE,CROSS PLAINS,V,N,P,CTH,NB,,CHURCH ST,,,,,BAER ST,S,0.0136,43.11737924,-89.6355313,OTH FX,O ROW,NO,R CITY,O,1,1,0,0,0,,,,,,,,,,,,,Y,,5422280,97,,CTH,25
02L0Z7RB5D,DT4000,1/18/2019,17,DANE,MIDDLETON,C,I,,,,,HEDDEN RD,M,CTH,EB,,CENTURY AVE,S,0.0347,43.11130363,-89.47155174,MVIT,ON,FTF,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,Y,,4829751,183,,,35
1KL07TS27H,DT4000,1/19/2019,16,DANE,MIDDLETON,C,I,,,,,MAYWOOD AVE,,,,,MAYWOOD CIR,,0,43.10018754,-89.49226825,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,Y,,4820201,517,,,25
1KL07BZM0C,DT4000,1/20/2019,8,DANE,MIDDLETON,C,I,,,,,STONEFIELD RD,,,,,BEECHWOOD CIR,,0,43.08725188,-89.48941498,MVIT,ON,SSO,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4821267,0,,,25
1KL07TS27J,DT4000,1/20/2019,15,DANE,MIDDLETON,C,I,M,CTH,EB,,CENTURY AVE,,,,,BASKERVILLE AVE,,0,43.10796437,-89.47976951,MVIT,ON,FTR,U CITY,C,3,5,0,1,0,,,,,,,,,,,,Y,,,4829753,203,,CTH,35
24L049LVP1,DT4000,1/20/2019,19,DANE,CROSS PLAINS,V,I,,,,,HILLEBRAND DR,,,,,CONTINENTAL LN,N,0.0116,43.1088525,-89.65106567,PKVEH,ON,NO,R CITY,O,2,2,0,0,0,,,,,,,,,,,,,Y,,4819652,1062,,,25
02L0XWW1C6,DT4000,1/20/2019,21,DANE,CROSS PLAINS,T,N,14,USH,EB,,,,,,,STAGECOACH RD,E,0.0189,43.09716758,-89.6200814,MVIT,ON,FTR,R STH,O,2,2,0,0,0,,,,,,,,,,,,,,,5314157,100,,USH,55
1KL07ZH5JP,DT4000,1/21/2019,8,DANE,MIDDLETON,C,I,,,,,PLEASANT VIEW RD,,,,,CROSSOVER USH 14,N,0.0133,43.09674611,-89.53482982,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,UNKN,,,,,,Y,UNKN,,,,Y,Y,Y,4841838,70,,,35
1KL07BZM0D,DT4000,1/21/2019,17,DANE,MIDDLETON,C,I,14,USH,EB,,,,,,,DEMING WAY,E,0.1699,43.09669295,-89.52018479,MVIT,ON,FTR,U STH,O,2,2,0,0,0,,,,,,,,,,,,,,Y,5488966,422,,USH,45
