,FROM,TO,CRASH
603,1665038,10787,0
604,1665100,1664167,0
605,1664738,1665120,0
606,1665116,1665118,0
607,1665118,1664999,0
608,1665118,1665120,0
609,1665114,1665113,0
610,1665090,1665091,0
611,1664489,1665133,1
612,1665132,1665133,0
613,1665297,1665299,0
614,1665330,1665091,0
615,1665410,1665116,0
616,1665297,1665444,0
617,1665482,1665153,1
618,1665551,1665100,0
619,1665551,1665601,0
620,1665410,1665552,0
621,1665552,1665612,0
622,1665614,1665586,0
623,1665648,1665614,0
624,1665648,1665410,0
625,1665614,1665662,0
626,1665671,1665648,0
627,1665552,1665671,0
628,1665735,1665671,0
629,1665120,1665735,0
630,1665671,1665741,0
631,1665153,1665861,0
632,1665861,1663992,0
633,1666240,1666324,0
634,1666324,1666285,0
635,1666324,1666414,0
636,1666385,1666361,0
637,1666386,1666385,0
638,1666414,1666421,0
639,1666473,1666471,0
640,1663992,1666465,2
641,1666385,1666420,0
642,1666485,1665861,0
643,1666500,1665823,1
644,1666500,1666498,0
645,1666511,1666414,0
646,1666588,1666511,1
647,1666588,1666584,0
648,1666587,1666506,2
649,1666642,1666588,0
650,1666509,1666684,2
651,1666688,1666648,0
652,1666684,1666726,0
653,1666688,1666737,0
654,1666737,1666512,2
655,1666684,1666858,0
656,1666865,1666844,0
657,1666858,1666865,0
658,1666865,1666938,0
659,1666938,1666998,0
660,1666998,1667003,0
661,1667020,1666923,0
662,1667020,1667021,0
663,1667021,1666688,0
664,1667037,1666485,4
665,1667026,1667037,0
666,1666858,1667028,0
667,1667028,1667020,0
668,1667028,1666865,0
669,1667070,1667066,0
670,1666998,1667070,0
671,1667083,1667070,0
672,1667083,1667104,0
673,1667104,1667028,0
674,1667021,1667104,0
675,1667108,1666587,1
676,1667098,1667097,0
677,1667100,1667098,0
678,1667104,1667174,0
679,1667174,1667145,0
680,1667066,1667203,0
681,1667238,1667083,0
682,1667238,1667174,0
683,1667174,1667205,0
684,1667203,1667302,0
685,1667248,1667287,0
686,1667302,1667378,0
687,1666473,1667498,0
688,1667498,1667493,0
689,1667144,1667503,2
690,1667302,1667484,0
691,1667484,1667238,0
692,1667484,1667486,0
693,1667503,1667518,2
694,1667037,1667518,0
695,1667518,1667498,1
696,1667529,1667532,0
697,1667532,1667533,0
698,1667533,1667534,0
699,1667533,1667587,0
700,1667587,1667586,0
701,1667534,1667636,0
702,1667636,1667652,0
703,1667595,1667658,0
704,1667663,1667658,0
705,1667493,1667714,0
706,1667658,1667711,0
707,1667636,1667710,0
708,1667658,1667728,0
709,1667710,1667730,0
710,1667587,1667739,0
711,1667144,1667774,0
712,1667771,1667291,0
713,1667710,1667773,0
714,1667876,1667823,0
715,1667771,1667899,0
716,1667714,1667939,0
717,1668103,1667899,2
718,1667876,1668103,0
719,1667518,1668213,0
720,1668231,1668195,0
721,1668231,1668327,0
722,1668195,1668327,0
723,1668298,1668329,0
724,1667493,1668393,0
725,1667714,11127,0
726,1661946,10464,1
727,1662510,10523,4
728,1662750,1662510,5
729,1662946,1662750,4
730,1663328,1663329,4
731,1667899,1667829,0
732,1667829,1667876,0
733,1667829,1667779,0
734,1666947,1667144,1
735,1666498,1666947,6
736,1667783,1667300,0
737,1667774,1667783,0
738,1667783,1667771,2
739,1666947,1667085,0
740,1666480,1666321,0
741,1666485,1666480,6
742,1666490,1666349,0
743,1666480,1666490,0
744,1666494,1666699,0
745,1666490,1666494,3
746,1666494,1666498,0
747,1666504,1666295,0
748,1666512,1666504,0
749,1666504,1666500,0
750,1668086,1667949,0
