WISLR_LINKID,functional_class
4829406,Rural Local
4829407,Rural Local
4829408,Rural Local
4829409,Rural Local
4829410,Rural Local
4829411,Rural Local
4829412,Rural Local
4829413,Rural Local
4829414,Rural Local
4829415,Rural Local
4829416,Rural Local
4829418,Rural Local
4829419,Rural Local
4829421,Rural Local
4829426,Rural Local
4829427,Rural Local
4829428,Rural Minor Collector
4829429,Rural Minor Collector
4829431,Urban Local
4829432,Rural Local
4829434,Urban Local
4829546,Urban Local
4829547,Urban Local
4829548,Urban Local
4829549,Urban Local
4829551,Urban Local
4829552,Urban Local
4829553,Urban Local
4829554,Urban Local
4829555,Urban Local
4829557,Urban Local
4829559,Urban Local
4829560,Urban Local
4829561,Urban Local
4829562,Urban Local
4829563,Urban Local
4829564,Urban Local
4829565,Urban Local
4829566,Urban Local
4829567,Urban Local
4829568,Urban Local
4829570,Urban Local
4829572,Urban Local
4829751,Urban Local
4829752,Urban Local
4829753,Urban Other Connecting Link Principal Arterial
4829754,Urban Collector
4829756,Urban Local
4829759,Urban Collector
4829760,Urban Collector
4829762,Urban Collector
4829763,Urban Collector
4829765,Urban Local
4829766,Urban Local
4829767,Urban Local
4829771,Urban Local
4829772,Urban Local
4829773,Urban Local
4829774,Urban Local
4829775,Urban Local
4829776,Urban Local
4829777,Urban Local
4829778,Urban Collector
4829779,Urban Collector
4829780,Urban Local
4829781,Urban Local
4829782,Urban Collector
4829783,Urban Collector
4829984,Urban Local
4830394,Rural Local
4830396,Urban Local
4830397,Urban Local
4830398,Urban Local
4830399,Urban Local
4830400,Urban Local
4830401,Urban Local
4830402,Urban Local
4830404,Urban Local
4830408,Urban Collector
4830409,Urban Collector
4830410,Urban Local
4830411,Urban Local
4830412,Urban Local
4830429,Urban Local
4830430,Urban Local
4830432,Rural Major Collector
4830433,Urban Local
4830434,Rural Major Collector
4830435,Rural Major Collector
4830438,Urban Local
4830439,Rural Local
4830441,Urban Local
4830442,Urban Local
4830443,Urban Local
4830444,Urban Local
4830445,Urban Local
4830446,Urban Local
4830475,Urban Local
4830482,Urban Collector
4830484,Urban Collector
4830487,Urban Minor Arterial
4830488,Urban Local
4830489,Urban Collector
4830574,Urban Local
4830580,Urban Collector
4830581,Urban Collector
4830597,Urban Local
4830599,Urban Local
4830600,Urban Local
4830601,Urban Local
4830602,Urban Local
4830603,Urban Local
4830604,Urban Local
4830605,Urban Local
4830606,Urban Local
4830607,Urban Local
4830608,Urban Local
4830609,Urban Local
4830610,Urban Local
4830611,Urban Local
4830613,Urban Local
4830614,Urban Local
4830615,Urban Local
4830616,Urban Other Connecting Link Principal Arterial
4830617,Urban Other Connecting Link Principal Arterial
4830618,Urban Local
4830631,Urban Local
4830632,Urban Other Connecting Link Principal Arterial
4830635,Urban Other Connecting Link Principal Arterial
4830636,Urban Local
4830644,Urban Local
4830650,Urban Local
4830659,Urban Local
4830663,Urban Local
4830670,Urban Collector
4830671,Urban Collector
4830672,Urban Local
4830673,Urban Local
4830674,Urban Local
4830679,Urban Local
4830681,Urban Local
4830816,Urban Minor Arterial
4830818,Urban Minor Arterial
4830819,Rural Local
4830830,Rural Local
4830831,Rural Local
4830850,Rural Local
4830851,Rural Local
4830867,Rural Major Collector
4830873,Rural Local
4830958,Rural Minor Arterial
4831043,Rural Local
4835848,Rural Local
4835851,Rural Local
4836005,Rural Local
4836907,Urban Minor Arterial
4836953,Urban Local
4836955,Urban Local
4837002,Rural Local
4837040,Urban Local
4837043,Urban Local
4837226,Urban Local
4837228,Rural Local
4837274,Rural Local
4839966,Urban Other Connecting Link Principal Arterial
4840394,Urban Local
4840395,Urban Local
