,FROM,TO,test
1541,1663818,1663968,0.06978415760054152
1542,1663862,1663981,0.006818461530069585
1543,1663830,1663980,0.06978415760054152
1544,1663968,1663983,0.06978415760054152
1545,1663949,1663998,1.03777501037775
1546,1663980,1663998,0.006818461530069585
1547,1663980,1664002,0.006818461530069585
1548,1664002,1664009,0.006818461530069585
1549,1664009,1663972,0.006818461530069585
1550,1663861,1664019,0.006818461530069585
1551,1664019,1663981,0.06978415760054152
1552,1663818,1664013,0.005095410932790129
1553,1664013,1664021,0.06978415760054152
1554,1664021,1663973,0.06978415760054152
1555,1663903,1664017,0.006818461530069585
1556,1663983,1664025,0.06978415760054152
1557,1664038,1664017,0.006818461530069585
1558,1664051,1664038,0.006818461530069585
1559,1664051,1664026,0.06978415760054152
1560,1664002,1664065,0.06978415760054152
1561,1664021,1664069,0.518887505188875
1562,1664064,1663968,0.06978415760054152
1563,1664063,1664051,0.006818461530069585
1564,1664063,1664032,0.06978415760054152
1565,1664078,1663983,0.06978415760054152
1566,1664082,1664062,0.06978415760054152
1567,1664079,1664038,0.06978415760054152
1568,1663549,1664167,0.022080319369739365
1569,1664167,1664174,0.022080319369739365
1570,1664122,1664125,0.06978415760054152
1571,1664126,1664064,0.06978415760054152
1572,1664114,1664126,0.06978415760054152
1573,1664137,1664063,0.006818461530069585
1574,1664082,1664137,0.06978415760054152
1575,1664025,1664082,0.06978415760054152
1576,1664147,1664009,0.028193733237944538
1577,1664125,1664148,0.06978415760054152
1578,1664148,1664128,0.06978415760054152
1579,1664125,1664157,0.06978415760054152
1580,1664159,1664093,0.06978415760054152
1581,1664122,1664159,0.006818461530069585
1582,1664155,1664121,0.06978415760054152
1583,1664155,1664064,0.06978415760054152
1584,1664126,1664163,0.06978415760054152
1585,1664165,1664051,0.06978415760054152
1586,1664185,1663916,0.06978415760054152
1587,1664190,1664147,0.006818461530069585
1588,1664199,1664155,0.06978415760054152
1589,1664159,1664208,0.006818461530069585
1590,1664163,1664204,0.06978415760054152
1591,1664228,1664159,0.06978415760054152
1592,1664148,1664237,0.06978415760054152
1593,1664247,1664170,0.06978415760054152
1594,1664247,1664190,0.06978415760054152
1595,1664237,1664247,0.06978415760054152
1596,1664163,1664248,0.06978415760054152
1597,1664256,1664148,0.06978415760054152
1598,1664013,1664255,0.005095410932790129
1599,1664248,1664266,0.06978415760054152
1600,1664137,1664271,0.023752447244330142
1601,1664271,1664155,0.06978415760054152
1602,1664237,1664291,0.06978415760054152
1603,1664295,1664247,0.06978415760054152
1604,1664290,1664271,0.006818461530069585
1605,1664248,1664290,0.06978415760054152
1606,1664255,1664328,0.005095410932790129
1607,1664301,1664344,0.06978415760054152
1608,1664271,1664344,0.06978415760054152
1609,1664349,1664290,0.006818461530069585
1610,1664359,1664190,0.03008043508341305
1611,1664290,1664355,0.06978415760054152
1612,1664378,1664349,0.006818461530069585
1613,1664378,1664328,0.06978415760054152
1614,1664391,1664355,0.06978415760054152
1615,1664344,1664137,0.07206012696994372
1616,1664414,1664378,0.05645427627029179
1617,1664487,1663739,0.022080319369739365
1618,1664467,1664213,0.01569931109460503
1619,1664489,1663943,0.006818461530069585
1620,1664294,1664486,0.06978415760054152
1621,1664202,1664487,0.022080319369739365
1622,1664355,1664482,0.06978415760054152
1623,1664609,1664202,0.022080319369739365
1624,1664709,1664174,0.022080319369739365
1625,1664738,1664487,0.1081186277583765
1626,1664742,1664738,0.022080319369739365
1627,1664605,1664797,0.022080319369739365
1628,10787,1665038,0.022080319369739365
1629,1664167,1665100,0.022080319369739365
1630,1665120,1664738,0.022080319369739365
1631,1665118,1665116,0.006818461530069585
1632,1664999,1665118,0.022080319369739365
1633,1665120,1665118,0.023752447244330142
1634,1665113,1665114,0.006818461530069585
1635,1665091,1665090,0.005095410932790129
1636,1665133,1664489,0.006818461530069585
1637,1665133,1665132,0.005095410932790129
1638,1665299,1665297,0.06978415760054152
1639,1665091,1665330,0.06978415760054152
1640,1665116,1665410,0.06978415760054152
1641,1665444,1665297,0.06978415760054152
1642,1665153,1665482,0.022080319369739365
1643,1665100,1665551,0.022080319369739365
1644,1665601,1665551,0.022080319369739365
1645,1665552,1665410,0.06978415760054152
1646,1665612,1665552,0.06978415760054152
1647,1665586,1665614,0.06978415760054152
1648,1665614,1665648,0.06978415760054152
1649,1665410,1665648,0.06978415760054152
1650,1665662,1665614,0.06978415760054152
1651,1665648,1665671,0.06978415760054152
1652,1665671,1665552,0.06978415760054152
1653,1665671,1665735,0.06978415760054152
1654,1665735,1665120,0.011004020594024541
1655,1665741,1665671,0.06978415760054152
1656,1665861,1665153,0.017650599326100115
1657,1663992,1665861,0.04571543513094044
1658,1666324,1666240,0.06978415760054152
1659,1666285,1666324,0.06978415760054152
1660,1666414,1666324,0.06978415760054152
1661,1666361,1666385,0.06978415760054152
1662,1666385,1666386,0.06978415760054152
1663,1666421,1666414,0.06978415760054152
1664,1666471,1666473,0.022080319369739365
1665,1666465,1663992,0.022080319369739365
1666,1666420,1666385,0.06978415760054152
1667,1665861,1666485,0.004412649831525029
1668,1665823,1666500,0.022080319369739365
1669,1666498,1666500,0.012716886499244616
1670,1666414,1666511,0.06978415760054152
1671,1666511,1666588,0.06978415760054152
1672,1666584,1666588,0.06978415760054152
1673,1666506,1666587,0.006818461530069585
