RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,RDWY_LINK_RSLN
4819875,1662704,1662749,370,52.7999992
4819876,1662704,1662751,422,52.7999992
4819877,1662751,1662638,792,52.7999992
4819878,1662756,1662698,634,52.7999992
4819879,1662753,1662756,581,52.7999992
4819880,1662756,1662752,370,52.7999992
4819902,1662749,1662769,211,52.7999992
4819904,1662728,1662771,264,52.7999992
4819908,1662722,1662823,792,52.7999992
4819909,1662734,1662764,1426,52.7999992
4819925,1662710,1662815,739,52.7999992
4819929,1662715,1662794,898,52.7999992
4819934,1662806,1662764,739,52.7999992
4819943,1662755,1662812,422,52.7999992
4819947,1662826,1662778,528,52.7999992
4819948,1662381,1662826,2904,52.7999992
4819962,1662752,1662816,845,52.7999992
4819964,1662734,1662839,792,52.7999992
4819969,1662794,1662835,845,52.7999992
4819972,1662837,1662813,475,52.7999992
4819976,1662843,1662837,475,52.7999992
4819977,1662835,1662843,634,52.7999992
4820030,1662899,1662860,264,52.7999992
4820031,1662902,1662899,1056,52.7999992
4820033,1662813,1662887,528,52.7999992
4820034,1662899,1662901,317,52.7999992
4820050,1662914,1662835,528,52.7999992
4820057,1662914,1662922,370,52.7999992
4820075,1662843,1662933,634,52.7999992
4820076,1662922,1662933,317,52.7999992
4820083,1662964,1662902,370,52.7999992
4820084,1662933,1662944,422,52.7999992
4820086,1662942,1662957,370,52.7999992
4820090,1662961,1662914,264,52.7999992
4820091,1662961,1662942,475,52.7999992
4820095,1662957,1662967,317,52.7999992
4820096,1662943,1662967,106,52.7999992
4820134,1663012,1662909,634,52.7999992
4820135,1663012,1663013,158,52.7999992
4820136,1663014,1663012,317,52.7999992
4820137,1663014,2034247,528,52.7999992
4820139,1663010,1662961,317,52.7999992
4820141,1663062,1662707,2640,52.7999992
4820148,1663010,1663032,1214,52.7999992
4820149,1662967,1663032,528,52.7999992
4820152,1663086,1662975,1003,52.7999992
4820153,1663062,1663086,422,52.7999992
4820180,1662887,1663059,950,52.7999992
4820189,1663072,1663010,264,52.7999992
4820193,1663076,1663079,739,52.7999992
4820194,1662945,1663079,950,52.7999992
4820196,1663032,1663078,264,52.7999992
4820197,1663078,1663076,1003,52.7999992
