RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,LOC_FLKOS_FT,LOC_TLKOS_FT,ST_PRMY_SYMB_TY,FNCT_CLS_CTGY_TYCD,FNCT_CLS_CTGY_TYDC
4819616,1662440,1662486,528,0,528,,97,Urban Local
4819634,1662465,1662506,317,0,317,,97,Urban Local
4819635,1662457,1662506,581,0,581,,97,Urban Local
4819640,1662351,1662555,1162,0,1162,,97,Urban Local
4819644,1662465,1662509,370,0,370,CTH,60,Urban Other Connecting Link Principal Arterial
4819645,1662510,1662514,1214,0,370,,97,Urban Local
4819645,1662510,1662514,1214,370,950,,97,Urban Local
4819645,1662510,1662514,1214,950,1214,,97,Urban Local
4819646,1662349,1662514,950,0,370,,96,Urban Collector
4819646,1662349,1662514,950,370,410,,96,Urban Collector
4819646,1662349,1662514,950,410,950,,96,Urban Collector
4819650,1662512,1662457,370,0,370,,97,Urban Local
4819652,1662362,1662565,1109,0,1109,,97,Urban Local
4819653,1662555,1662565,422,0,422,,97,Urban Local
4819655,1662382,1662534,1003,0,1003,,97,Urban Local
4819656,1662534,1662432,634,0,634,,97,Urban Local
4819658,1662521,1662512,53,0,53,,97,Urban Local
4819659,1662512,1662521,211,0,211,,97,Urban Local
4819674,1662556,1662503,317,0,317,,97,Urban Local
4819675,1662320,1662602,1531,0,1531,,97,Urban Local
4819677,1662411,1662574,1003,0,1003,,45,Rural Local
4819690,1662602,1662615,264,0,264,,97,Urban Local
4819691,1662635,1662606,211,0,211,,97,Urban Local
4819692,1662602,1662635,106,0,106,,97,Urban Local
4819694,1662506,1662563,475,0,475,,97,Urban Local
4819698,1662536,1662569,211,0,211,,97,Urban Local
4819707,1662589,1662521,317,0,317,,97,Urban Local
4819712,1662563,1662589,317,0,317,,97,Urban Local
4819713,1662589,1662596,264,0,106,,97,Urban Local
4819713,1662589,1662596,264,106,264,,97,Urban Local
4819714,1662453,1662596,845,0,845,,97,Urban Local
4819723,1662439,1662582,1162,0,792,,97,Urban Local
4819723,1662439,1662582,1162,792,1162,,97,Urban Local
4819724,1662407,1662409,3010,0,1214,,97,Urban Local
4819724,1662407,1662409,3010,1214,3010,,97,Urban Local
4819725,1662555,1662682,581,0,581,,97,Urban Local
4819730,1662653,1662556,370,0,370,,97,Urban Local
4819742,1662604,1662591,211,0,211,,97,Urban Local
4819743,1662569,1662604,158,0,158,,97,Urban Local
4819744,1662563,1662625,792,0,792,,97,Urban Local
4819745,1662582,1662631,264,0,264,,97,Urban Local
4819747,1662635,1662699,370,0,370,,97,Urban Local
4819748,1662556,1662672,898,0,898,,97,Urban Local
4819750,1662699,1662722,317,0,317,,97,Urban Local
4819751,1662699,1662722,106,0,106,,97,Urban Local
4819754,1662707,1662674,211,0,211,,45,Rural Local
4819757,1662710,1662709,211,0,211,,45,Rural Local
4819758,1662707,1662710,370,0,370,,45,Rural Local
4819762,1662713,1662707,634,0,634,,45,Rural Local
4819764,1662653,1662691,422,0,422,,97,Urban Local
4819767,1662679,1662589,317,0,317,,97,Urban Local
4819775,1662534,1662701,792,0,792,,97,Urban Local
4819776,1662604,1662681,264,0,264,,97,Urban Local
4819798,1662565,1662736,792,0,792,,97,Urban Local
4819799,1662701,1662696,317,0,317,,97,Urban Local
4819816,1662625,1662694,317,0,317,,96,Urban Collector
4819817,1662694,1662679,1003,0,1003,,97,Urban Local
4819821,1662721,1662653,422,0,422,,97,Urban Local
4819823,1662698,1662694,158,0,158,,97,Urban Local
4819837,1662509,1662715,1320,0,1320,CTH,60,Urban Other Connecting Link Principal Arterial
4819841,1662701,1662734,264,0,264,,97,Urban Local
4819850,1662596,1662731,634,0,634,,97,Urban Local
4819851,1662679,1662732,317,0,317,,97,Urban Local
4819852,1662731,1662732,317,0,317,,96,Urban Collector
4819855,1662735,1662731,317,0,317,,96,Urban Collector
4819856,1662453,1662735,1690,0,317,,97,Urban Local
4819856,1662453,1662735,1690,317,1690,,97,Urban Local
4819857,1662725,1662728,211,0,211,,97,Urban Local
4819858,1662681,1662728,317,0,317,,97,Urban Local
4819864,1662750,1662735,686,0,686,,96,Urban Collector
4819865,1662728,1662738,422,0,422,,97,Urban Local
4819866,1662681,1662738,634,0,370,,97,Urban Local
4819866,1662681,1662738,634,370,634,,97,Urban Local
4819868,1662764,1662721,317,0,317,,97,Urban Local
4819869,1662752,1662715,317,0,317,,96,Urban Collector
4819871,1662514,1662755,1109,0,400,,96,Urban Collector
4819871,1662514,1662755,1109,400,879,,96,Urban Collector
4819871,1662514,1662755,1109,879,1109,,96,Urban Collector
4819872,1662694,1662753,264,0,264,,96,Urban Collector
4819873,1662732,1662753,1056,0,1056,,96,Urban Collector
4819874,1662738,1662749,211,0,211,,97,Urban Local
4819875,1662704,1662749,370,0,370,,97,Urban Local
4819876,1662704,1662751,422,0,422,CTH,60,Urban Other Connecting Link Principal Arterial
4819877,1662751,1662638,792,0,422,,97,Urban Local
4819877,1662751,1662638,792,422,792,,97,Urban Local
4819878,1662756,1662698,634,0,317,,97,Urban Local
4819878,1662756,1662698,634,317,634,,97,Urban Local
4819879,1662753,1662756,581,0,581,,96,Urban Collector
4819880,1662756,1662752,370,0,370,,96,Urban Collector
4819902,1662749,1662769,211,0,211,,97,Urban Local
4819904,1662728,1662771,264,0,264,,97,Urban Local
4819908,1662722,1662823,792,0,792,,97,Urban Local
4819909,1662734,1662764,1426,0,1426,,97,Urban Local
4819925,1662710,1662815,739,0,739,,45,Rural Local
4819929,1662715,1662794,898,0,528,CTH,60,Urban Other Connecting Link Principal Arterial
4819929,1662715,1662794,898,528,898,CTH,60,Urban Other Connecting Link Principal Arterial
4819934,1662806,1662764,739,0,739,,97,Urban Local
4819943,1662755,1662812,422,0,422,,97,Urban Local
4819947,1662826,1662778,528,0,528,,97,Urban Local
4819948,1662381,1662826,2904,0,528,,97,Urban Local
4819948,1662381,1662826,2904,528,2498,,97,Urban Local
4819948,1662381,1662826,2904,2498,2762,,97,Urban Local
4819948,1662381,1662826,2904,2762,2871,,97,Urban Local
4819948,1662381,1662826,2904,2871,2904,,97,Urban Local
4819962,1662752,1662816,845,0,211,,97,Urban Local
4819962,1662752,1662816,845,211,845,,97,Urban Local
4819964,1662734,1662839,792,0,792,,97,Urban Local
4819969,1662794,1662835,845,0,845,CTH,60,Urban Other Connecting Link Principal Arterial
4819972,1662837,1662813,475,0,475,CTH,60,Urban Other Connecting Link Principal Arterial
4819976,1662843,1662837,475,0,475,CTH,60,Urban Other Connecting Link Principal Arterial
4819977,1662835,1662843,634,0,634,CTH,60,Urban Other Connecting Link Principal Arterial
4820030,1662899,1662860,264,0,264,,97,Urban Local
4820031,1662902,1662899,1056,0,1056,,97,Urban Local
4820033,1662813,1662887,528,0,528,CTH,60,Urban Other Connecting Link Principal Arterial
4820034,1662899,1662901,317,0,317,,97,Urban Local
4820050,1662914,1662835,528,0,528,,96,Urban Collector
4820057,1662914,1662922,370,0,370,,97,Urban Local
4820075,1662843,1662933,634,0,634,,97,Urban Local
4820076,1662922,1662933,317,0,317,,97,Urban Local
4820083,1662964,1662902,370,0,370,,86,Urban Minor Arterial
4820084,1662933,1662944,422,0,422,,97,Urban Local
4820086,1662942,1662957,370,0,370,,97,Urban Local
4820090,1662961,1662914,264,0,264,,96,Urban Collector
4820091,1662961,1662942,475,0,475,,97,Urban Local
4820095,1662957,1662967,317,0,317,,97,Urban Local
4820096,1662943,1662967,106,0,106,,97,Urban Local
4820134,1663012,1662909,634,0,634,,97,Urban Local
4820135,1663012,1663013,158,0,158,,97,Urban Local
4820136,1663014,1663012,317,0,317,,97,Urban Local
4820137,1663014,2034247,528,0,158,,86,Urban Minor Arterial
4820137,1663014,2034247,528,158,528,,86,Urban Minor Arterial
4820139,1663010,1662961,317,0,317,,96,Urban Collector
4820141,1663062,1662707,2640,0,2640,,45,Rural Local
4820148,1663010,1663032,1214,0,1214,,97,Urban Local
4820149,1662967,1663032,528,0,106,,97,Urban Local
4820149,1662967,1663032,528,106,528,,97,Urban Local
4820152,1663086,1662975,1003,0,306,,45,Rural Local
4820152,1663086,1662975,1003,306,697,,45,Rural Local
4820152,1663086,1662975,1003,697,1003,,45,Rural Local
4820153,1663062,1663086,422,0,422,,45,Rural Local
4820180,1662887,1663059,950,0,950,CTH,60,Urban Other Connecting Link Principal Arterial
4820189,1663072,1663010,264,0,264,,96,Urban Collector
4820193,1663076,1663079,739,0,739,,96,Urban Collector
4820194,1662945,1663079,950,0,950,,96,Urban Collector
4820196,1663032,1663078,264,0,264,,97,Urban Local
4820197,1663078,1663076,1003,0,1003,,96,Urban Collector
4820198,1663072,1663081,792,0,792,,96,Urban Collector
4820200,1663081,1663078,317,0,317,,96,Urban Collector
4820201,1663083,1663072,370,0,370,,96,Urban Collector
4820202,1662933,1663090,898,0,898,,97,Urban Local
4820203,1663090,1663083,317,0,317,,96,Urban Collector
4820204,1663059,1663090,1373,0,1373,,96,Urban Collector
4820211,1663106,1663014,422,0,422,,86,Urban Minor Arterial
4820246,1663081,1663133,317,0,317,,97,Urban Local
4820247,1663139,1663076,370,0,370,,97,Urban Local
4820251,1663144,1663139,634,0,634,,97,Urban Local
4820252,1663079,1663144,370,0,370,,96,Urban Collector
4820254,1663078,1663143,317,0,317,,97,Urban Local
4820255,1663139,1663143,1003,0,1003,,97,Urban Local
4820256,1663149,1663144,686,0,686,,97,Urban Local
4820257,1663079,1663149,1003,0,634,,97,Urban Local
4820257,1663079,1663149,1003,634,1003,,97,Urban Local
4820262,1663133,1663151,158,0,158,,97,Urban Local
4820265,1663160,1663012,686,0,686,,97,Urban Local
4820266,1663164,1663160,317,0,317,,97,Urban Local
4820267,1663164,1663106,317,0,317,,86,Urban Minor Arterial
4820272,1663126,1663162,211,0,211,,97,Urban Local
4820273,1663133,1663162,158,0,158,,97,Urban Local
4820275,1663180,1662964,1954,0,528,,97,Urban Local
4820275,1663180,1662964,1954,528,1109,,97,Urban Local
4820275,1663180,1662964,1954,1109,1954,,97,Urban Local
4820306,1663210,1662899,1637,0,1637,,97,Urban Local
4820310,1663212,1663210,1214,0,1214,,96,Urban Collector
4820315,1663203,1663139,317,0,317,,97,Urban Local
4820317,1663203,1663208,686,0,686,,97,Urban Local
4820318,1663144,1663208,317,0,317,,96,Urban Collector
4820319,1663143,1663207,264,0,264,,97,Urban Local
4820326,1663208,1663218,739,0,739,,97,Urban Local
4820327,1663149,1663218,317,0,317,,97,Urban Local
4820328,1663218,1663224,422,0,422,,97,Urban Local
